sgUF;Nome;sgPartido;Nome_dep_simplificado;flag_reeleito_final
PE;Pedro Campos;PSB;pedro campos;Nao
TO;Pedro Jr;PL;pedro jr;Nao
MA;Pedro Lucas Fernandes;UNIÃO;pedro lucas fernandes;Sim
PR;Pedro Lupion;PP;pedro lupion;Sim
RJ;Pedro Paulo;PSD;pedro paulo;Sim
SP;Pedro Tourinho;PT;pedro tourinho;Nao
SC;Pedro Uczai;PT;pedro uczai;Sim
RS;Pedro Westphalen;PP;pedro westphalen;Sim
AC;Perpétua Almeida;PCdoB;perpetua almeida;Nao
SC;Pezenti;MDB;pezenti;Nao
MG;Pinheirinho;PP;pinheirinho;Sim
RS;Pompeo de Mattos;PDT;pompeo de mattos;Sim
SP;Pr. Marco Feliciano;PL;pr. marco feliciano;Sim
CE;Priscila Costa;PL;priscila costa;Nao
DF;Prof. Paulo Fernando;REPUBLICANOS;prof. paulo fernando;Nao
DF;Prof. Reginaldo Veras;PV;prof. reginaldo veras;Nao
GO;Professor Alcides;PL;professor alcides;Sim
RJ;Professor Joziel;PATRIOTA;professor joziel;Nao
AP;Professora Goreth;PDT;professora goreth;Nao
SP;Professora Luciene Cavalcante;PSOL;professora luciene cavalcante;Nao
AL;Rafael Brito;MDB;rafael brito;Nao
DF;Rafael Prudente;MDB;rafael prudente;Nao
MG;Rafael Simoes;UNIÃO;rafael simoes;Nao
BA;Raimundo Costa;PODE;raimundo costa;Sim
PA;Raimundo Santos;PSD;raimundo santos;Nao
PB;Raniery Paulino;REPUBLICANOS;raniery paulino;Nao
MG;Reginaldo Lopes;PT;reginaldo lopes;Sim
RS;Reginete Bispo;PT;reginete bispo;Nao
RJ;Reimont;PT;reimont;Nao
PR;Reinhold Stephanes;PSD;reinhold stephanes;Nao
RJ;Renan Ferreirinha;PSD;renan ferreirinha;Nao
SP;Renata Abreu;PODE;renata abreu;Sim
PA;Renilce Nicodemos;MDB;renilce nicodemos;Nao
PE;Renildo Calheiros;PCdoB;renildo calheiros;Sim
SP;Ribamar Silva;PSD;ribamar silva;Nao
RJ;Ricardo Abrão;UNIÃO;ricardo abrao;Nao
TO;Ricardo Ayres;REPUBLICANOS;ricardo ayres;Nao
PR;Ricardo Barros;PP;ricardo barros;Sim
RJ;Ricardo da Karol;PDT;ricardo da karol;Nao
SC;Ricardo Guidi;PL;ricardo guidi;Sim
BA;Ricardo Maia;MDB;ricardo maia;Nao
SP;Ricardo Salles;NOVO;ricardo salles;Nao
SP;Ricardo Silva;PSD;ricardo silva;Sim
CE;Robério Monteiro;PDT;roberio monteiro;Sim
BA;Roberta Roma;PL;roberta roma;Nao
AC;Roberto Duarte;REPUBLICANOS;roberto duarte;Nao
RJ;Roberto Monteiro Pai;PL;roberto monteiro pai;Nao
RN;Robinson Faria;PL;robinson faria;Nao
MS;Rodolfo Nogueira;PL;rodolfo nogueira;Nao
MT;Rodrigo da Zaeli;PL;rodrigo da zaeli;Nao
MG;Rodrigo de Castro;UNIÃO;rodrigo de castro;Sim
PR;Rodrigo Estacho;PSD;rodrigo estacho;Nao
SP;Rodrigo Gambale;PODE;rodrigo gambale;Nao
SE;Rodrigo Valadares;UNIÃO;rodrigo valadares;Nao
BA;Rogéria Santos;REPUBLICANOS;rogeria santos;Nao
MG;Rogério Correia;PT;rogerio correia;Sim
PB;Romero Rodrigues;PODE;romero rodrigues;Nao
RS;Ronaldo Nogueira;REPUBLICANOS;ronaldo nogueira;Nao
SP;Rosana Valle;PL;rosana valle;Sim
RJ;Rosangela Gomes;REPUBLICANOS;rosangela gomes;Sim
SP;Rosangela Moro;UNIÃO;rosangela moro;Nao
MG;Rosângela Reis;PL;rosangela reis;Nao
MA;Roseana Sarney;MDB;roseana sarney;Nao
GO;Rubens Otoni;PT;rubens otoni;Sim
MA;Rubens Pereira Júnior;PT;rubens pereira junior;Nao
SP;Rui Falcão;PT;rui falcao;Sim
PB;Ruy Carneiro;PODE;ruy carneiro;Sim
SP;Sâmia Bomfim;PSOL;samia bomfim;Sim
MG;Samuel Viana;REPUBLICANOS;samuel viana;Nao
RS;Sanderson;PL;sanderson;Sim
PR;Sandro Alex;PSD;sandro alex;Sim
PR;Sargento Fahur;PSD;sargento fahur;Sim
RN;Sargento Gonçalves;PL;sargento goncalves;Nao
RJ;Sargento Portugal;PODE;sargento portugal;Nao
AM;Saullo Vianna;UNIÃO;saullo vianna;Nao
SP;Saulo Pedroso;PSD;saulo pedroso;Nao
BA;Sérgio Brito;PSD;sergio brito;Sim
PR;Sergio Souza;MDB;sergio souza;Sim
AM;Sidney Leite;PSD;sidney leite;Sim
AM;Silas Câmara;REPUBLICANOS;silas camara;Sim
RO;Silvia Cristina;PP;silvia cristina;Sim
AP;Silvia Waiãpi;PL;silvia waiapi;Nao
MA;Silvio Antonio;PL;silvio antonio;Nao
PE;Silvio Costa Filho;REPUBLICANOS;silvio costa filho;Sim
GO;Silvye Alves;UNIÃO;silvye alves;Nao
SP;Simone Marquetto;MDB;simone marquetto;Nao
AC;Socorro Neri;PP;socorro neri;Nao
AP;Sonize Barbosa;PL;sonize barbosa;Nao
RJ;Soraya Santos;PL;soraya santos;Sim
RJ;Sóstenes Cavalcante;PL;sostenes cavalcante;Sim
MG;Stefano Aguiar;PSD;stefano aguiar;Sim
SP;Tabata Amaral;PSB;tabata amaral;Sim
CE;Tadeu Oliveira;PL;tadeu oliveira;Nao
PR;Tadeu Veneri;PT;tadeu veneri;Nao
RJ;Talíria Petrone;PSOL;taliria petrone;Sim
RJ;Tarcísio Motta;PSOL;tarcisio motta;Sim
SE;Thiago de Joaldo;PP;thiago de joaldo;Nao
RO;Thiago Flores;REPUBLICANOS;thiago flores;Nao
PR;Tião Medeiros;PP;tiao medeiros;Nao
SP;Tiririca;PL;tiririca;Sim
PR;Toninho Wandscheer;PP;toninho wandscheer;Sim
PE;Túlio Gadêlha;REDE;tulio gadelha;Sim
MG;Ulisses Guimarães;MDB;ulisses guimaraes;Nao
BA;Valmir Assunção;PT;valmir assuncao;Sim
MS;Vander Loubet;PT;vander loubet;Sim
PR;Vermelho;PP;vermelho;Sim
SP;Vicentinho;PT;vicentinho;Sim
TO;Vicentinho Júnior;PP;vicentinho junior;Sim
SP;Vinicius Carvalho;REPUBLICANOS;vinicius carvalho;Sim
AP;Vinicius Gurgel;PL;vinicius gurgel;Sim
SP;Vitor Lippi;PSDB;vitor lippi;Sim
PE;Waldemar Oliveira;AVANTE;waldemar oliveira;Nao
BA;Waldenor Pereira;PT;waldenor pereira;Sim
RJ;Washington Quaquá;PT;washington quaqua;Nao
MG;Weliton Prado;SOLIDARIEDADE;weliton prado;Sim
PB;Wellington Roberto;PL;wellington roberto;Sim
PR;Welter;PT;welter;Nao
PB;Wilson Santiago;REPUBLICANOS;wilson santiago;Sim
MA;Wolmer Araújo;SOLIDARIEDADE;wolmer araujo;Nao
SE;Yandra Moura;UNIÃO;yandra moura;Nao
CE;Yury do Paredão;MDB;yury do paredao;Nao
AC;Zé Adriano;PP;ze adriano;Nao
RR;Zé Haroldo Cathedral;PSD;ze haroldo cathedral;Nao
BA;Zé Neto;PT;ze neto;Sim
MG;Zé Silva;SOLIDARIEDADE;ze silva;Sim
SC;Zé Trovão;PL;ze trovao;Nao
MG;Zé Vitor;PL;ze vitor;Sim
PR;Zeca Dirceu;PT;zeca dirceu;Sim
AC;Zezinho Barbary;PP;zezinho barbary;Nao
RS;Zucco;PL;zucco;Nao
